SEQN,SDDSRVYR,RIDSTATR,RIAGENDR,RIDAGEYR,RIDAGEMN,RIDRETH1,RIDRETH3,RIDEXMON,RIDEXAGM,DMQMILIZ,DMQADFC,DMDBORN4,DMDCITZN,DMDYRSUS,DMDEDUC3,DMDEDUC2,DMDMARTL,RIDEXPRG,SIALANG,SIAPROXY,SIAINTRP,FIALANG,FIAPROXY,FIAINTRP,MIALANG,MIAPROXY,MIAINTRP,AIALANGA,DMDHHSIZ,DMDFMSIZ,DMDHHSZA,DMDHHSZB,DMDHHSZE,DMDHRGND,DMDHRAGE,DMDHRBR4,DMDHREDU,DMDHRMAR,DMDHSEDU,WTINT2YR,WTMEC2YR,SDMVPSU,SDMVSTRA,INDHHIN2,INDFMIN2,INDFMPIR
82016.0,8.0,2.0,2.0,3.0,,3.0,3.0,1.0,40.0,,,1.0,1.0,,,,,,1.0,1.0,2.0,1.0,2.0,2.0,,,,,4.0,4.0,2.0,5.397605346934028e-79,5.397605346934028e-79,2.0,31.0,1.0,5.0,1.0,5.0,52892.13288,58805.677631,1.0,115.0,14.0,14.0,3.82
82017.0,8.0,2.0,2.0,18.0,,3.0,3.0,2.0,223.0,2.0,,1.0,1.0,,11.0,,,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,6.0,6.0,1.0,1.0,1.0,1.0,45.0,1.0,3.0,1.0,3.0,26714.008621,27362.696305,2.0,108.0,6.0,6.0,0.88
82020.0,8.0,2.0,1.0,41.0,,3.0,3.0,2.0,,2.0,,1.0,1.0,,,5.0,1.0,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,4.0,4.0,5.397605346934028e-79,2.0,5.397605346934028e-79,2.0,40.0,1.0,3.0,1.0,5.0,114235.606176,120897.048533,1.0,113.0,14.0,14.0,3.82
82023.0,8.0,2.0,2.0,41.0,,3.0,3.0,2.0,,2.0,,1.0,1.0,,,5.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,7.0,7.0,5.397605346934028e-79,4.0,5.397605346934028e-79,1.0,44.0,1.0,4.0,1.0,5.0,20205.312253,20144.147319,2.0,107.0,7.0,7.0,0.88
82025.0,8.0,2.0,2.0,78.0,,3.0,3.0,2.0,,2.0,,1.0,1.0,,,4.0,1.0,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,,2.0,2.0,5.397605346934028e-79,5.397605346934028e-79,2.0,1.0,80.0,1.0,5.0,1.0,4.0,61455.600029,63120.80203,1.0,110.0,14.0,14.0,5.0
82027.0,8.0,2.0,1.0,80.0,,3.0,3.0,2.0,,2.0,,1.0,1.0,,,3.0,2.0,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,,1.0,1.0,5.397605346934028e-79,5.397605346934028e-79,1.0,1.0,80.0,1.0,3.0,2.0,,42907.110924,43854.410922,2.0,113.0,6.0,6.0,2.57
82031.0,8.0,2.0,2.0,80.0,,3.0,3.0,1.0,,2.0,,1.0,1.0,,,4.0,1.0,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,,2.0,2.0,5.397605346934028e-79,5.397605346934028e-79,2.0,1.0,80.0,1.0,3.0,1.0,4.0,31920.554865,35035.387637,2.0,116.0,5.0,5.0,1.46
82038.0,8.0,2.0,1.0,5.397605346934028e-79,4.0,3.0,3.0,1.0,6.0,,,1.0,1.0,,,,,,1.0,1.0,2.0,1.0,2.0,2.0,,,,,5.0,5.0,3.0,5.397605346934028e-79,5.397605346934028e-79,1.0,32.0,1.0,1.0,1.0,1.0,16785.472439,18516.595587,2.0,115.0,15.0,15.0,5.0
82039.0,8.0,2.0,2.0,25.0,,3.0,3.0,2.0,,2.0,,2.0,2.0,2.0,,5.0,5.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,2.0,25.0,2.0,5.0,5.0,,37970.43438,39136.374185,2.0,104.0,5.0,3.0,1.2
82041.0,8.0,2.0,2.0,66.0,,3.0,3.0,1.0,,2.0,,1.0,1.0,,,2.0,1.0,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,7.0,7.0,5.397605346934028e-79,3.0,2.0,2.0,66.0,1.0,2.0,1.0,1.0,33842.702091,34703.022247,1.0,113.0,7.0,7.0,1.01
82046.0,8.0,2.0,1.0,80.0,,3.0,3.0,2.0,,2.0,,2.0,1.0,9.0,,3.0,2.0,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,,2.0,1.0,5.397605346934028e-79,5.397605346934028e-79,1.0,1.0,80.0,2.0,3.0,2.0,,31612.099496,33353.414431,2.0,110.0,14.0,14.0,5.0
82047.0,8.0,2.0,1.0,64.0,,3.0,3.0,2.0,,1.0,1.0,1.0,1.0,,,3.0,3.0,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,5.397605346934028e-79,5.397605346934028e-79,1.0,1.0,64.0,1.0,3.0,3.0,,18603.251124,18992.273404,1.0,114.0,5.0,5.0,1.29
