SEQN,SDDSRVYR,RIDSTATR,RIAGENDR,RIDAGEYR,RIDAGEMN,RIDRETH1,RIDRETH3,RIDEXMON,RIDEXAGM,DMQMILIZ,DMQADFC,DMDBORN4,DMDCITZN,DMDYRSUS,DMDEDUC3,DMDEDUC2,DMDMARTL,RIDEXPRG,SIALANG,SIAPROXY,SIAINTRP,FIALANG,FIAPROXY,FIAINTRP,MIALANG,MIAPROXY,MIAINTRP,AIALANGA,DMDHHSIZ,DMDFMSIZ,DMDHHSZA,DMDHHSZB,DMDHHSZE,DMDHRGND,DMDHRAGE,DMDHRBR4,DMDHREDU,DMDHRMAR,DMDHSEDU,WTINT2YR,WTMEC2YR,SDMVPSU,SDMVSTRA,INDHHIN2,INDFMIN2,INDFMPIR
86718.0,9.0,2.0,1.0,44.0,,4.0,4.0,2.0,,2.0,,1.0,1.0,,,2.0,6.0,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,1.0,44.0,1.0,2.0,6.0,,18773.699705,18472.819902,1.0,123.0,4.0,4.0,1.19
86719.0,9.0,2.0,1.0,62.0,,4.0,4.0,1.0,,1.0,1.0,1.0,1.0,,,4.0,5.0,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,5.397605346934028e-79,5.397605346934028e-79,1.0,1.0,62.0,1.0,4.0,5.0,,12472.976108,12394.616226,2.0,122.0,4.0,4.0,0.94
86735.0,9.0,2.0,2.0,3.0,,4.0,4.0,1.0,41.0,,,1.0,1.0,,,,,,1.0,1.0,2.0,1.0,2.0,2.0,,,,,7.0,7.0,3.0,5.397605346934028e-79,5.397605346934028e-79,2.0,53.0,1.0,4.0,3.0,,9554.220014,11239.069589,2.0,131.0,5.0,5.0,0.63
86738.0,9.0,2.0,2.0,11.0,,4.0,4.0,2.0,133.0,,,2.0,2.0,3.0,5.0,,,,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,7.0,7.0,5.397605346934028e-79,4.0,5.397605346934028e-79,1.0,44.0,2.0,5.0,1.0,5.0,13414.042114,13497.875971,2.0,130.0,10.0,10.0,1.82
86741.0,9.0,2.0,2.0,77.0,,4.0,4.0,1.0,,2.0,,1.0,1.0,,,4.0,3.0,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,,7.0,7.0,5.397605346934028e-79,1.0,2.0,2.0,77.0,1.0,4.0,3.0,,17309.35911,16901.948131,2.0,131.0,13.0,13.0,
86744.0,9.0,2.0,1.0,25.0,,4.0,4.0,1.0,,2.0,,1.0,1.0,,,3.0,5.0,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,4.0,4.0,5.397605346934028e-79,1.0,5.397605346934028e-79,1.0,36.0,1.0,4.0,5.0,,28183.870854,28120.204108,2.0,132.0,6.0,6.0,1.32
86748.0,9.0,2.0,1.0,63.0,,4.0,4.0,2.0,,2.0,,1.0,1.0,,,2.0,5.0,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,5.397605346934028e-79,5.397605346934028e-79,1.0,1.0,63.0,1.0,2.0,5.0,,13776.283972,13381.91364,2.0,130.0,99.0,2.0,0.71
86749.0,9.0,2.0,2.0,1.0,19.0,4.0,4.0,1.0,19.0,,,1.0,1.0,,,,,,1.0,1.0,2.0,1.0,2.0,2.0,,,,,3.0,3.0,1.0,5.397605346934028e-79,5.397605346934028e-79,1.0,31.0,1.0,4.0,1.0,4.0,7318.1395,7606.897847,2.0,133.0,6.0,6.0,1.49
86766.0,9.0,2.0,1.0,9.0,,4.0,4.0,1.0,120.0,,,1.0,1.0,,4.0,,,,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,,3.0,3.0,5.397605346934028e-79,2.0,5.397605346934028e-79,2.0,37.0,2.0,4.0,5.0,,13746.763028,14619.371216,1.0,129.0,6.0,6.0,1.39
86767.0,9.0,2.0,1.0,19.0,,4.0,4.0,2.0,238.0,2.0,,1.0,1.0,,13.0,,,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,4.0,1.0,5.397605346934028e-79,5.397605346934028e-79,1.0,1.0,66.0,,,1.0,,22903.336931,23291.010132,2.0,124.0,,2.0,0.55
86771.0,9.0,2.0,1.0,18.0,,4.0,4.0,2.0,216.0,2.0,,1.0,1.0,,10.0,,,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,6.0,6.0,5.397605346934028e-79,3.0,5.397605346934028e-79,2.0,38.0,1.0,3.0,6.0,,14516.231877,14421.754617,1.0,132.0,2.0,2.0,0.26
86772.0,9.0,2.0,1.0,80.0,,4.0,4.0,1.0,,1.0,1.0,1.0,1.0,,,4.0,2.0,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,,3.0,3.0,5.397605346934028e-79,5.397605346934028e-79,1.0,1.0,80.0,1.0,4.0,2.0,,13301.256968,13926.974567,2.0,132.0,12.0,12.0,
86775.0,9.0,2.0,2.0,14.0,,4.0,4.0,2.0,169.0,,,1.0,1.0,,8.0,,,,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,5.0,5.0,1.0,2.0,5.397605346934028e-79,2.0,47.0,1.0,5.0,5.0,,12327.270278,12074.718356,2.0,126.0,10.0,10.0,2.29
86781.0,9.0,2.0,2.0,18.0,,4.0,4.0,1.0,226.0,2.0,,1.0,1.0,,13.0,,,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,5.0,5.0,5.397605346934028e-79,2.0,5.397605346934028e-79,2.0,36.0,1.0,4.0,1.0,3.0,15852.64401,15598.663589,2.0,131.0,10.0,10.0,2.29
86782.0,9.0,2.0,2.0,23.0,,4.0,4.0,1.0,,2.0,,2.0,2.0,3.0,,4.0,5.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,7.0,7.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,2.0,24.0,2.0,4.0,1.0,4.0,22994.282762,24269.216147,1.0,124.0,7.0,7.0,0.95
86793.0,9.0,2.0,2.0,16.0,,4.0,4.0,2.0,198.0,,,99.0,,,9.0,,,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,5.0,5.0,5.397605346934028e-79,3.0,5.397605346934028e-79,1.0,52.0,2.0,4.0,1.0,4.0,17984.129423,17717.634774,1.0,129.0,77.0,77.0,
86799.0,9.0,2.0,1.0,10.0,,4.0,4.0,2.0,127.0,,,1.0,1.0,,4.0,,,,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,5.397605346934028e-79,2.0,5.397605346934028e-79,2.0,37.0,1.0,3.0,6.0,,6842.353831,7029.189119,1.0,119.0,5.0,5.0,1.19
86801.0,9.0,2.0,1.0,30.0,,4.0,4.0,1.0,,2.0,,1.0,1.0,,,3.0,1.0,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,7.0,7.0,5.397605346934028e-79,1.0,2.0,2.0,54.0,2.0,5.0,3.0,,23789.015213,25174.190262,1.0,124.0,9.0,9.0,1.47
86802.0,9.0,2.0,2.0,30.0,,4.0,4.0,1.0,,2.0,,1.0,1.0,,,4.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,7.0,7.0,5.397605346934028e-79,3.0,1.0,2.0,64.0,1.0,2.0,3.0,,25141.374128,25133.718028,2.0,132.0,8.0,8.0,1.1
86803.0,9.0,2.0,2.0,2.0,,4.0,4.0,2.0,28.0,,,1.0,1.0,,,,,,1.0,1.0,2.0,,,,,,,,2.0,2.0,1.0,5.397605346934028e-79,5.397605346934028e-79,2.0,23.0,,,5.0,,7144.797564,8404.754852,2.0,131.0,,,
86806.0,9.0,2.0,1.0,64.0,,4.0,4.0,1.0,,2.0,,1.0,1.0,,,5.0,2.0,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,5.397605346934028e-79,5.397605346934028e-79,1.0,1.0,64.0,1.0,5.0,2.0,,11683.688316,11610.287034,2.0,132.0,4.0,4.0,1.0
86807.0,9.0,2.0,1.0,8.0,,4.0,4.0,2.0,103.0,,,1.0,1.0,,2.0,,,,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,6.0,6.0,5.397605346934028e-79,4.0,5.397605346934028e-79,2.0,32.0,1.0,3.0,5.0,,13936.001772,14316.53411,1.0,126.0,6.0,6.0,0.92
86818.0,9.0,2.0,2.0,16.0,,4.0,4.0,2.0,198.0,,,1.0,1.0,,10.0,,,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,5.397605346934028e-79,1.0,5.397605346934028e-79,2.0,36.0,1.0,5.0,5.0,,16254.837429,16257.902061,2.0,126.0,6.0,6.0,2.09
86823.0,9.0,2.0,1.0,6.0,,4.0,4.0,2.0,75.0,,,1.0,1.0,,5.397605346934028e-79,,,,1.0,1.0,2.0,1.0,2.0,2.0,,,,,4.0,4.0,1.0,1.0,5.397605346934028e-79,2.0,37.0,1.0,4.0,1.0,4.0,18766.890719,19368.751249,2.0,130.0,9.0,9.0,2.47
86824.0,9.0,2.0,1.0,70.0,,4.0,4.0,1.0,,1.0,1.0,1.0,1.0,,,4.0,1.0,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,,2.0,2.0,5.397605346934028e-79,5.397605346934028e-79,2.0,1.0,70.0,1.0,4.0,1.0,2.0,14290.348858,14871.653766,1.0,125.0,8.0,8.0,2.82
86826.0,9.0,2.0,2.0,80.0,,4.0,4.0,1.0,,2.0,,1.0,1.0,,,3.0,1.0,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,,2.0,2.0,5.397605346934028e-79,5.397605346934028e-79,2.0,2.0,80.0,1.0,3.0,1.0,3.0,17695.914647,17279.405297,2.0,121.0,9.0,9.0,3.87
86832.0,9.0,2.0,1.0,2.0,,4.0,4.0,2.0,35.0,,,1.0,1.0,,,,,,1.0,1.0,2.0,1.0,2.0,2.0,,,,,6.0,6.0,2.0,1.0,5.397605346934028e-79,2.0,59.0,1.0,3.0,3.0,,5158.1759,5773.66511,1.0,123.0,13.0,13.0,
86836.0,9.0,2.0,2.0,3.0,,4.0,4.0,1.0,47.0,,,1.0,1.0,,,,,,1.0,1.0,2.0,1.0,2.0,2.0,,,,,7.0,7.0,3.0,1.0,1.0,2.0,60.0,,,1.0,,8553.452371,9420.656033,1.0,125.0,2.0,2.0,0.18
86848.0,9.0,2.0,1.0,58.0,,4.0,4.0,2.0,,2.0,,1.0,1.0,,,3.0,3.0,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,1.0,58.0,1.0,3.0,3.0,,15299.176052,15053.981277,1.0,119.0,2.0,2.0,0.55
86850.0,9.0,2.0,2.0,14.0,,4.0,4.0,2.0,176.0,,,1.0,1.0,,8.0,,,,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,5.0,5.0,5.397605346934028e-79,2.0,5.397605346934028e-79,2.0,43.0,1.0,4.0,6.0,,20270.180159,19854.899823,1.0,126.0,7.0,7.0,1.41
86853.0,9.0,1.0,1.0,7.0,,4.0,4.0,,,,,1.0,1.0,,1.0,,,,1.0,1.0,2.0,1.0,2.0,2.0,,,,,4.0,4.0,5.397605346934028e-79,2.0,5.397605346934028e-79,1.0,37.0,1.0,3.0,6.0,,17325.841541,5.397605346934028e-79,2.0,127.0,8.0,8.0,1.85
86858.0,9.0,2.0,2.0,20.0,,4.0,4.0,2.0,,2.0,,1.0,1.0,,,4.0,5.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,4.0,4.0,1.0,5.397605346934028e-79,5.397605346934028e-79,1.0,51.0,2.0,3.0,1.0,4.0,27553.161261,27895.323471,1.0,119.0,14.0,14.0,3.92
86862.0,9.0,2.0,1.0,2.0,,4.0,4.0,2.0,34.0,,,1.0,1.0,,,,,,1.0,1.0,2.0,1.0,2.0,2.0,,,,,7.0,7.0,3.0,2.0,5.397605346934028e-79,2.0,29.0,1.0,2.0,4.0,,7074.454453,7200.628169,2.0,126.0,2.0,2.0,0.24
86870.0,9.0,2.0,1.0,25.0,,4.0,4.0,1.0,,2.0,,1.0,1.0,,,3.0,5.0,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,5.397605346934028e-79,5.397605346934028e-79,2.0,1.0,72.0,1.0,3.0,2.0,,23898.919376,23897.562557,1.0,124.0,2.0,2.0,0.35
86880.0,9.0,2.0,2.0,10.0,,4.0,4.0,2.0,122.0,,,1.0,1.0,,3.0,,,,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,5.0,5.0,1.0,2.0,5.397605346934028e-79,1.0,44.0,1.0,5.0,1.0,5.0,20199.623975,20208.906679,1.0,132.0,15.0,15.0,5.0
86883.0,9.0,2.0,1.0,51.0,,4.0,4.0,2.0,,2.0,,2.0,2.0,6.0,,3.0,1.0,,1.0,2.0,2.0,1.0,2.0,2.0,,,,,4.0,4.0,1.0,5.397605346934028e-79,5.397605346934028e-79,1.0,51.0,2.0,3.0,1.0,4.0,22977.821272,22725.164197,1.0,119.0,14.0,14.0,3.92
86884.0,9.0,2.0,1.0,6.0,,4.0,4.0,2.0,79.0,,,1.0,1.0,,5.397605346934028e-79,,,,1.0,1.0,2.0,1.0,2.0,2.0,,,,,6.0,6.0,1.0,3.0,5.397605346934028e-79,2.0,28.0,1.0,3.0,1.0,2.0,13936.001772,14520.577133,1.0,126.0,5.0,5.0,0.61
86885.0,9.0,2.0,1.0,26.0,,4.0,4.0,1.0,,2.0,,1.0,1.0,,,3.0,5.0,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,5.397605346934028e-79,5.397605346934028e-79,1.0,1.0,60.0,1.0,3.0,2.0,,23367.280811,23365.954175,2.0,133.0,4.0,4.0,0.98
86888.0,9.0,2.0,1.0,24.0,,4.0,4.0,1.0,,2.0,,1.0,1.0,,,4.0,6.0,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,2.0,19.0,1.0,3.0,,,28183.870854,28120.204108,2.0,132.0,,3.0,1.21
86890.0,9.0,2.0,2.0,6.0,,4.0,4.0,2.0,72.0,,,1.0,1.0,,5.397605346934028e-79,,,,1.0,1.0,2.0,1.0,2.0,2.0,,,,,6.0,6.0,1.0,3.0,5.397605346934028e-79,1.0,34.0,1.0,4.0,1.0,1.0,7835.011725,8094.949735,2.0,131.0,4.0,4.0,0.58
86897.0,9.0,2.0,1.0,40.0,,4.0,4.0,1.0,,2.0,,1.0,1.0,,,5.0,5.0,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,1.0,40.0,1.0,5.0,5.0,,16789.631937,17237.823588,2.0,133.0,15.0,15.0,5.0
86899.0,9.0,2.0,1.0,22.0,,4.0,4.0,1.0,,2.0,,1.0,1.0,,,3.0,5.0,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,5.0,5.0,5.397605346934028e-79,1.0,5.397605346934028e-79,2.0,58.0,1.0,4.0,1.0,,28574.375835,29787.085354,1.0,129.0,5.0,5.0,0.77
86902.0,9.0,1.0,1.0,80.0,,4.0,4.0,,,2.0,,1.0,1.0,,,1.0,2.0,,1.0,2.0,2.0,1.0,2.0,2.0,,,,,1.0,1.0,5.397605346934028e-79,5.397605346934028e-79,1.0,1.0,80.0,1.0,1.0,2.0,,15452.439456,5.397605346934028e-79,2.0,130.0,3.0,3.0,1.01
86903.0,9.0,1.0,2.0,61.0,,4.0,4.0,,,2.0,,1.0,1.0,,,3.0,5.0,,1.0,2.0,2.0,,,,,,,,2.0,2.0,5.397605346934028e-79,5.397605346934028e-79,1.0,2.0,61.0,1.0,3.0,5.0,,20474.111436,5.397605346934028e-79,2.0,132.0,,,
86915.0,9.0,2.0,2.0,12.0,,4.0,4.0,2.0,148.0,,,1.0,1.0,,5.0,,,,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,7.0,7.0,2.0,4.0,5.397605346934028e-79,2.0,31.0,1.0,4.0,5.0,,16433.24639,16057.572157,2.0,126.0,3.0,3.0,0.34
